Period,Country,Area,Type,Fatal (Y/N),Time
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Morning
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Morning
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Provoked,N,Morning
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Morning
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Evening
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,Y,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,Y,Unspecified
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Victoria,Unspecified,Y,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Unknown,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Unspecified
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Tasmania,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Queensland,Provoked,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,Unknown,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Morning
1977-1996,AUSTRALIA,South Australia,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,Y,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Unspecified
1957-1976,AUSTRALIA,South Australia,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Victoria,Unprovoked,Y,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Queensland,Provoked,N,Evening
1977-1996,AUSTRALIA,Queensland,Unspecified,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Unspecified,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,Y,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Provoked,N,Morning
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1997-2016,AUSTRALIA,New South Wales,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,South Australia,Unprovoked,N,Morning
1916-1936,AUSTRALIA,New South Wales,Unspecified,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unspecified,Y,Unspecified
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Western Australia,Unprovoked,Y,Unspecified
1916-1936,AUSTRALIA,New South Wales,Provoked,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1997-2016,AUSTRALIA,Queensland,Provoked,N,Evening
1997-2016,AUSTRALIA,Queensland,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,Victoria,Provoked,N,Morning
1916-1936,AUSTRALIA,Western Australia,Unspecified,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Evening
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Provoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unspecified,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,South Australia,Provoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unspecified,Unknown,Afternoon
1916-1936,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,day
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Evening
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Evening
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Morning
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Morning
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1916-1936,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unspecified,Y,Unspecified
1916-1936,AUSTRALIA,Western Australia,Unspecified,Unknown,Unspecified
1916-1936,AUSTRALIA,Western Australia,Unprovoked,Y,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unspecified,N,Morning
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unspecified,Unknown,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,Tasmania,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unspecified,N,Afternoon
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Evening
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,South Australia,Unprovoked,Y,Evening
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unspecified,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1916-1936,AUSTRALIA,Victoria ,Unprovoked,Y,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Victoria,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Evening
1997-2016,AUSTRALIA,South Australia,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,Y,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,South Australia,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Morning
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Northern Territory,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Evening
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Morning
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Morning
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,Y,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,Unknown,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,South Australia,Provoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,Queensland,Unspecified,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Evening
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1997-2016,AUSTRALIA,Queensland,Unspecified,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Evening
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Northern Territory,Unprovoked,Y,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Morning
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Morning
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Evening
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unspecified,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Provoked,N,Unspecified
1977-1996,AUSTRALIA,Western Australia,Unprovoked,Unknown,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Evening
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Provoked,N,Morning
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Morning
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Queensland,Unspecified,Y,Evening
1957-1976,AUSTRALIA,South Australia,Unprovoked,Y,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Queensland,Provoked,N,Evening
1937-1956,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Morning
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1937-1956,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1916-1936,AUSTRALIA,Queensland,Provoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1916-1936,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Torres Strait,Provoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Afternoon
1916-1936,AUSTRALIA,New South Wales,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,South Australia,Unspecified,Y,Evening
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,Y,Unspecified
1937-1956,AUSTRALIA,Torres Strait,Unprovoked,N,Morning
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,Y,Unspecified
1937-1956,AUSTRALIA,Northern Territory,Unprovoked,Y,Unspecified
1937-1956,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1977-1996,AUSTRALIA,South Australia,Unprovoked,Y,Afternoon
1937-1956,AUSTRALIA,Queensland,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Tasmania,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,Y,Evening
1977-1996,AUSTRALIA,Queensland,Unprovoked,Y,Evening
1937-1956,AUSTRALIA,New South Wales,Unspecified,N,Unspecified
1937-1956,AUSTRALIA,Victoria,Unspecified,Y,Unspecified
1937-1956,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1937-1956,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,New South Wales,Provoked,N,Evening
1937-1956,AUSTRALIA,Queensland,Unprovoked,Y,Evening
1916-1936,AUSTRALIA,Northern Territory,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Victoria,Provoked,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unspecified,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Evening
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unspecified,Y,Unspecified
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,Queensland,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Queensland,Provoked,N,Morning
1997-2016,AUSTRALIA,South Australia,Unprovoked,Y,Evening
1997-2016,AUSTRALIA,Tasmania,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,Northern Territory,Unspecified,N,Unspecified
1997-2016,AUSTRALIA,Queensland,Provoked,N,Morning
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Morning
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1916-1936,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unspecified,Y,Afternoon
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,Y,Unspecified
1916-1936,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,South Australia,Unprovoked,N,Afternoon
1916-1936,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1916-1936,AUSTRALIA,South Australia,Provoked,N,Unspecified
1916-1936,AUSTRALIA,South Australia,Provoked,N,Unspecified
1916-1936,CANADA,Halifax,Provoked,N,Unspecified
1916-1936,CANADA,Bay of Fundy,Provoked,N,Unspecified
1916-1936,CANADA,Vancouver,Unprovoked,N,Unspecified
1916-1936,CANADA,Newfoundland,Provoked,N,Unspecified
1937-1956,CANADA,Nova Scotia,Provoked,N,Unspecified
1997-2016,CANADA,British Colombia,Unspecified,N,Unspecified
1997-2016,CANADA,New Brunswick,Unprovoked,N,Unspecified
1937-1956,CHINA,Unspecified,Unprovoked,Y,Unspecified
1997-2016,CHINA,Shanghai,Provoked,N,Unspecified
1997-2016,CHINA,Hong Kong,Unprovoked,N,Unspecified
1937-1956,CHINA,North China,Unprovoked,Y,Unspecified
1997-2016,FRANCE,Wallis and Futuna,Unprovoked,N,Morning
1957-1976,FRANCE,Antibes,Unprovoked,N,Unspecified
1977-1996,FRANCE,Gulf of Lyons,Unprovoked,N,Unspecified
1997-2016,FRANCE,Bay of Biscay,Provoked,N,Evening
1916-1936,IRELAND,Off Ireland,Unprovoked,Y,Morning
1957-1976,ITALY,Venice Province,Provoked,N,Unspecified
1957-1976,ITALY,Tyrrhenian Sea,Unprovoked,Y,Morning
1977-1996,ITALY,Tyrrhenian Sea,Provoked,N,Unspecified
1937-1956,ITALY,Adriatic Sea,Unprovoked,Y,Unspecified
1916-1936,ITALY,Unspecified,Provoked,N,Unspecified
1977-1996,ITALY,Sicily,Unprovoked,N,Afternoon
1937-1956,ITALY,40 miles south of Naples ,Unprovoked,N,Unspecified
1957-1976,ITALY,Genoa Province,Unspecified,N,Unspecified
1937-1956,ITALY,Liguria,Unspecified,N,Unspecified
1957-1976,ITALY,Tyrrhenian Sea,Unprovoked,N,Unspecified
1957-1976,ITALY,Adriatic Sea,Unprovoked,N,Afternoon
1916-1936,ITALY,Golfo di Genova in the Ligurian Sea,Unprovoked,Y,Morning
1997-2016,ITALY,Unspecified,Provoked,N,Unspecified
1957-1976,ITALY,Sicily,Unprovoked,N,Unspecified
1937-1956,ITALY,Liguria,Provoked,N,Unspecified
1957-1976,ITALY,Reggio Calabria Province,Provoked,N,Unspecified
1957-1976,ITALY,Sardinia,Provoked,N,Unspecified
1957-1976,ITALY,Tuscany,Unspecified,Y,Unspecified
1977-1996,ITALY,Tyrrhenian Sea,Unprovoked,N,Morning
1937-1956,ITALY,Ligurian Sea,Provoked,Unknown,Unspecified
1977-1996,ITALY,Golfo de Venezia,Unspecified,N,Unspecified
1937-1956,ITALY,Tyrrenian Sea,Unprovoked,N,Unspecified
1977-1996,ITALY,Tyrrhenian Sea,Provoked,N,Unspecified
1997-2016,ITALY,Adriatic Sea,Provoked,N,Unspecified
1997-2016,ITALY,Sardinia,Unspecified,Y,Unspecified
1997-2016,ITALY,Marches region,Unspecified,N,Unspecified
1937-1956,ITALY,Teramo,Provoked,Y,Evening
1937-1956,ITALY,Calabria,Unprovoked,N,Unspecified
1937-1956,ITALY,Tuscany,Unspecified,N,Unspecified
1916-1936,ITALY,Tuscany,Provoked,N,Unspecified
1937-1956,ITALY,Tyrrhenian Sea,Provoked,N,Unspecified
1916-1936,ITALY,Sicily,Provoked,N,Unspecified
1977-1996,ITALY,Manfredonia ,Unprovoked,N,Unspecified
1997-2016,ITALY,Unspecified,Unprovoked,Y,Unspecified
1977-1996,ITALY,Ligurian Sea,Provoked,N,Afternoon
1937-1956,ITALY,Genoa  Province,Provoked,N,Unspecified
1937-1956,ITALY,Tyrrhenian Sea,Provoked,N,Unspecified
1977-1996,ITALY,Tyrrhenian Sea,Unprovoked,Y,Morning
1997-2016,ITALY,Sardinia,Provoked,N,Morning
1937-1956,ITALY,Savona,Provoked,N,Unspecified
1937-1956,ITALY,Liguaria,Unprovoked,N,Unspecified
1957-1976,ITALY,Taranto province,Unprovoked,N,Unspecified
1977-1996,ITALY,Northwest Italy,Unspecified,N,Unspecified
1957-1976,ITALY,Brindisi Province,Provoked,Unknown,Unspecified
1937-1956,ITALY,Venice Province,Provoked,Unknown,Evening
1977-1996,ITALY,Tyrrhenian Sea,Provoked,N,Unspecified
1977-1996,ITALY,Tyrrhenian Sea,Provoked,Unknown,Unspecified
1937-1956,ITALY,Salerno,Unprovoked,Y,Unspecified
1937-1956,ITALY,Salerno Province,Unprovoked,N,Evening
1977-1996,ITALY,Tuscany,Unprovoked,N,Afternoon
1957-1976,ITALY,Sicily,Provoked,N,Unspecified
1937-1956,ITALY,Naples Province,Provoked,N,Unspecified
1957-1976,ITALY,Liguria,Unprovoked,N,Unspecified
1937-1956,ITALY,Taranto,Unprovoked,N,Unspecified
1997-2016,JAPAN,Kochi Prefecture,Unprovoked,N,Evening
1937-1956,JAPAN,Sago Prefecture,Unprovoked,Y,Evening
1977-1996,JAPAN,Kumamoto Prefecture,Unprovoked,Y,Unspecified
1937-1956,JAPAN,Izo Islands,Unprovoked,Y,Unspecified
1977-1996,JAPAN,Ehime Prefecture,Unprovoked,N,Unspecified
1977-1996,JAPAN,Sea of Japan,Unspecified,N,Unspecified
1977-1996,JAPAN,Ehime Prefecture,Unprovoked,N,Unspecified
1977-1996,JAPAN,Sea of Japan,Unspecified,N,Unspecified
1997-2016,JAPAN,Okinawa Prefecture,Unprovoked,N,Unspecified
1977-1996,JAPAN,Kagoshima Prefecture,Unprovoked,N,Unspecified
1957-1976,JAPAN,Okayama Prefecture,Unprovoked,N,Unspecified
1957-1976,JAPAN,Ibaraki Prefecture,Unspecified,Y,Unspecified
1977-1996,JAPAN,Aichi Prefecture,Unprovoked,Y,Morning
1937-1956,JAPAN,Ryukyu,Unprovoked,Y,Unspecified
1937-1956,JAPAN,Okayama Prefecture,Unprovoked,Y,Afternoon
1957-1976,JAPAN,Hokkaido Prefecture,Unspecified,N,Unspecified
1957-1976,JAPAN,Wakayama Prefecture,Unprovoked,Y,Afternoon
1997-2016,JAPAN,Unspecified,Unprovoked,N,Unspecified
1957-1976,JAPAN,Okayama Prefecture,Unprovoked,Y,Afternoon
1957-1976,JAPAN,Kagawa Prefecture,Unprovoked,Y,Afternoon
1937-1956,JAPAN,Nagasaki Prefecture,Unspecified,Y,Unspecified
1977-1996,JAPAN,Ehime Prefecture,Provoked,N,Afternoon
1977-1996,JAPAN,Tokyo Prefecture,Unprovoked,N,Unspecified
1977-1996,JAPAN,Ehime Prefecture,Provoked,N,Morning
1997-2016,JAPAN,Wakayama Prefecture,Unprovoked,N,Unspecified
1977-1996,JAPAN,Ehime Prefecture,Unprovoked,Y,Afternoon
1997-2016,JAPAN,Southern Japan,Provoked,N,Unspecified
1977-1996,JAPAN,Ehime Prefecture,Unprovoked,N,Morning
1997-2016,JAPAN,Atsumi peninsula,Unprovoked,N,Afternoon
1997-2016,MALTA,Unspecified,Unprovoked,N,Unspecified
1937-1956,MALTA,St. Thomas Bay,Unprovoked,Y,Unspecified
1937-1956,MALTA,Congreve Channel,Provoked,N,Unspecified
1997-2016,NEW ZEALAND,North Island,Provoked,N,Unspecified
1997-2016,NEW ZEALAND,North Island,Unprovoked,N,Afternoon
1957-1976,NEW ZEALAND,South Island,Unprovoked,N,Morning
1957-1976,NEW ZEALAND,North Island,Provoked,Unknown,Unspecified
1997-2016,NEW ZEALAND,North Island,Provoked,N,Unspecified
1957-1976,NEW ZEALAND,North Island,Unprovoked,Y,Afternoon
1957-1976,NEW ZEALAND,North Island,Provoked,N,Unspecified
1957-1976,NEW ZEALAND,North Island,Provoked,N,Afternoon
1937-1956,NEW ZEALAND,North Island,Provoked,N,Unspecified
1957-1976,NEW ZEALAND,South Island,Unprovoked,N,Afternoon
1957-1976,NEW ZEALAND,North Island,Unprovoked,N,Unspecified
1997-2016,NEW ZEALAND,South Island,Unprovoked,N,Unspecified
1997-2016,NEW ZEALAND,South Island,Unprovoked,Y,Unspecified
1997-2016,NEW ZEALAND,South Island,Unprovoked,N,Unspecified
1997-2016,NEW ZEALAND,South Island,Unprovoked,N,Unspecified
1997-2016,NEW ZEALAND,South Island,Unprovoked,N,Unspecified
1997-2016,NEW ZEALAND,Cook islans,Provoked,N,Unspecified
1997-2016,NEW ZEALAND,North Island,Unspecified,Unknown,Unspecified
1957-1976,NEW ZEALAND,North Island,Unprovoked,N,Afternoon
1997-2016,NEW ZEALAND,"South Island, near Karitane north of Dunedin",Unprovoked,N,Evening
1957-1976,NEW ZEALAND,South Island,Provoked,N,Unspecified
1997-2016,NEW ZEALAND,South Island,Unprovoked,N,Unspecified
1957-1976,NEW ZEALAND,South Island,Unprovoked,N,Afternoon
