Period,Country,Area,Type,Fatal (Y/N),Time
1997-2016,AUSTRALIA,Queensland,Provoked,N,Evening
1977-1996,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,South Australia,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Provoked,N,Afternoon
1977-1996,AUSTRALIA,South Australia,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,Queensland,Provoked,N,Evening
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Morning
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Morning
1997-2016,AUSTRALIA,South Australia,Unspecified,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,South Australia,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,South Australia,Provoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Morning
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,Victoria,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Northern Territory,Unprovoked,Unknown,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,Western Australia,Unprovoked,Y,Afternoon
1977-1996,AUSTRALIA,Western Australia,Unprovoked,Unknown,Unspecified
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unspecified,Y,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,South Australia,Unprovoked,N,Morning
1977-1996,AUSTRALIA,Queensland,Provoked,N,Unspecified
1997-2016,AUSTRALIA,South Australia,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unspecified,Y,Evening
1977-1996,AUSTRALIA,Queensland,Unspecified,N,Unspecified
1977-1996,AUSTRALIA,Western Australia,Provoked,N,Morning
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Morning
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,New South Wales,Provoked,N,Morning
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Morning
1997-2016,AUSTRALIA,Western Australia,Unprovoked,Y,Evening
1997-2016,AUSTRALIA,Victoria,Provoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,Unknown,Evening
1977-1996,AUSTRALIA,Victoria,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,Western Australia,Unprovoked,Unknown,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Morning
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Evening
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,New South Wales,Unspecified,Y,Unspecified
1977-1996,AUSTRALIA,Queensland,Unspecified,Y,Unspecified
1977-1996,AUSTRALIA,Western Australia,Unprovoked,Y,Afternoon
1977-1996,AUSTRALIA,New South Wales,Unprovoked,Y,Morning
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,South Australia,Unprovoked,N,Afternoon
